sentence,emotion,emotion_label
meandmybestfriendbothare,admiration,1
thankyouforexplainingimonlybutnowifeeloldlol,amusement,6
youhonestlythinkalawdidawaywithstrawpurchasesstoplying,anger,4
fleurisalreadyafrenchwordaddingthelaisntreallyfrenchingitupfyiitschangingflowertotheflower,annoyance,3
agreecompletelyexceptthatiwouldswitchnameandname,approval,2
justletyourkidknowyouaredisappointedinthemandbedonewithiteveryonewillbebetterforit,caring,13
whatinthebipolarhellisgoingonyikes,confusion,10
soiveneverseennamebeforeanddecidedtogoogleitoutofcuriositycheersforthat,curiosity,8
onedayyoushouldgogetthatdonutpersonallylifewouldntbeworthlivingificouldntoccasionallyenjoyagourmetdonut,desire,21
ohiknowiwillneverforgeteitherofthosescenespoorkid,disappointment,9
thenyoureopposedtotherunninggamehisnamelargelysufferedbecausenamegotthejuicycarries,disapproval,5
imeanitsucksbutthatmanlooksdeaded,disgust,17
iwouldratherthiscrappymemedie,embarrassment,22
getthatdoubledoublename,excitement,18
afterlisteningtoghoststorieswithmyclassmatesihadtobackalonetothehostelatnightihadtowalkthroughalongandquietroadandiwasscaredofmeetingaghost,fear,19
thanksforcallingmeanidiotwasdefinitelynecessary,gratitude,7
anentirefamilygonewithinminuteshowabsolutelyheartbreaking,grief,29
eatingthelastremainsofdinnerthatsomeoneelseunknowntomehadclaimed,guilt,25
athostelmyroommatewasaveryselfishpersonandwouldavoiddoinganyhtingthatdidnotconcernhimafewofuspreparedlunchtogetherandhaddecidedtosharetheworkmyroomatehadpromisedtodothesamebutihadtowashthebowlseverytimeafterdinneritriedtowaitandthoughtthathewouldrealizehisfaultididnotwanttotellhimtodotheworkasheisauniversitystudentandoughttohaveselfrespecthedisappointedmeandsoeverytimeisawhimitriedtoavoidhimanddidnotwanttokeepanycontactwithhim,guilty,30
ilikeitsofaridheardofitagesagojustnevergotroundtowatchingit,joy,11
idlovetodothatoneday,love,12
imunderweightanywayssomebodyhandmeanenglishtowhateverlanguagetranslationbook,nervousness,26
ivebetyouveneverevenmetanimmigrant,neutral,0
factsdontcareaboutyourfeelingsisalsoagoodonetochuckbackatthem,optimism,15
thatsgoodtohearimadmittedlyhighlyjudgmentalaboutthiskindofthingbutimtryingtoopenupmymindabit,pride,28
andiwasattheplayboymansion,realization,14
thatscoolthatsdefinitelyonewaytolookatitl,relief,27
pleasedontthinkthewaytheyretrollingrepresentsusnameimsorrythishappened,remorse,23
afriendofminewhohadrepeatedayearatschooloncebeforedidnotpassthefinalexaminationandhadtotakeitagainhalfayearlater,sadness,16
ifletshamefulwhenilearntthaticookednsimawhichwasfulloflampsinit,shame,24
yeahthatwouldbeonevaluecombohewouldshovethatsheisbeating,surprise,20
